occupantID,0,0.05,0.07,0.08,0.2,0.3,0.4,1,2,2.1,3,3.1,3.2,3.3,3.4,4,4.1,5,6,7,8,9,10,11,12,13,14,14.1,14.2,14.3,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,project_id,city,state,season,building_id,work_group_id,work_group_nm,Space_id,View,C_O,P_I_C,build_name
1788,,,,,,,,3,7,,7,,,,,6,,5,5,6,7,5,4,4,4,4,6,,,,6,3,3,3,7,2,0,4,2,4,5,2,2,2,3,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_CP_08,,C,P,FSS_C
1789,,,,,,,,4,4,,1,,,,,1,,1,1,1,1,1,6,3,4,4,4,,,,1,4,4,7,3,3,0,3,2,3,1,2,4,4,2,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_OP_02,,O,P,FSS_C
1790,,,,,,,,4,1,,1,,,,,2,,4,5,2,2,3,4,3,3,3,2,,,,2,3,3,3,2,3,0,4,1,3,4,6,6,3,2,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_OP_05,,O,P,FSS_C
1791,,,,,,,,4,1,,2,,,,,1,,1,1,1,1,1,3,3,3,3,1,,,,1,4,1,1,1,1,0,2,1,3,5,7,6,1,1,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_OP_06,,O,P,FSS_C
1792,,,,,,,,3,4,,1,,,,,1,,1,4,3,2,3,5,2,2,2,1,,,,3,6,3,4,3,2,0,2,2,3,4,2,3,1,1,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_OP_07,,O,P,FSS_C
1793,,,,,,,,6,3,,4,,,,,2,,2,2,2,2,2,5,3,5,2,2,,,,2,6,3,5,2,2,0,2,2,3,4,3,4,4,4,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_OP_09,,O,P,FSS_C
1794,,,,,,,,6,4,,2,,,,,4,,1,2,1,2,1,6,4,4,4,1,,,,2,1,4,6,2,4,0,3,2,4,5,7,7,2,2,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_OI_02,,O,I,FSS_C
1795,,,,,,,,6,2,,2,,,,,4,,3,5,3,6,4,6,5,5,5,2,,,,2,7,5,5,5,6,0,3,2,3,4,6,7,3,3,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_OI_04,,O,I,FSS_C
1796,,,,,,,,4,3,,3,,,,,3,,2,2,2,4,2,4,4,4,4,2,,,,3,7,4,4,3,2,0,4,1,1,1,7,7,4,4,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_OI_05,,O,I,FSS_C
1797,,,,,,,,4,4,,2,,,,,4,,2,2,1,1,1,6,3,4,4,7,,,,4,7,4,4,1,4,0,2,1,2,4,2,3,3,3,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_OI_07,,O,I,FSS_C
1798,,,,,,,,2,1,,2,,,,,3,,3,3,4,6,4,3,3,3,3,1,,,,4,2,2,1,4,6,0,2,1,3,1,4,2,,3,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_OI_08,,O,I,FSS_C
1799,,,,,,,,7,6,,3,,,,,2,,3,5,2,2,6,7,6,6,6,1,,,,5,5,5,7,5,5,0,4,2,3,5,7,7,5,5,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_OI_09,,O,I,FSS_C
1800,,,,,,,,5,2,,2,,,,,1,,2,2,1,1,4,6,6,6,6,1,,,,1,1,3,6,1,1,0,4,1,3,4,6,6,2,2,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_OI_10,,O,I,FSS_C
1801,,,,,,,,6,4,,4,,,,,4,,4,6,4,6,4,6,6,4,4,4,,,,6,1,4,4,4,6,0,1,1,3,4,7,7,5,5,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_OC_03,,O,C,FSS_C
1878,,,,,,,,7,1,,1,,,,,7,,7,7,7,4,7,5,5,5,5,1,,,,1,7,7,6,7,7,0,4,1,1,4,2,2,6,6,0,200504_FSS_WDC,Washington DC,,C,0504_FSS_01,0504_FSS_01_04,FSS_4th floor,0504_FSS_01_04_CP_01,,C,P,FSS_D
